feature,coef,abs_coef
failures,0.8021197394707988,0.8021197394707988
reason_course,0.5134477359788536,0.5134477359788536
Mjob_services,-0.4980591888309747,0.4980591888309747
Mjob_teacher,0.4889265079020482,0.4889265079020482
goout,0.40725053895428254,0.40725053895428254
Fjob_services,0.3927878483873543,0.3927878483873543
schoolsup_no,-0.38488485239108255,0.38488485239108255
schoolsup_yes,0.3819815620257778,0.3819815620257778
reason_other,-0.3644721984574405,0.3644721984574405
Fjob_at_home,-0.35861634914814366,0.35861634914814366
Dalc,0.2871316588543327,0.2871316588543327
Pstatus_A,-0.28043758196637675,0.28043758196637675
Pstatus_T,0.2775342916010897,0.2775342916010897
famrel,-0.26990180792564206,0.26990180792564206
higher_yes,-0.26689089744615263,0.26689089744615263
